-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::instance_norm         0.00%     191.140us         0.00%      10.158ms     298.770us       0.000us         0.00%      24.008ms     706.111us            34  
                                       aten::batch_norm         0.00%     117.150us         0.00%       9.740ms     286.478us       0.000us         0.00%      24.008ms     706.111us            34  
                           aten::_batch_norm_impl_index         0.00%     169.100us         0.00%       9.623ms     283.032us       0.000us         0.00%      24.008ms     706.111us            34  
                                aten::native_batch_norm         0.00%       1.056ms         0.00%       9.251ms     272.089us      24.008ms         2.03%      24.008ms     706.111us            34  
                                       aten::empty_like         0.00%     742.890us         0.00%       3.389ms       9.361us       0.000us         0.00%       0.000us       0.000us           362  
void at::native::batch_norm_collect_statistics_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       9.400ms         0.79%       9.400ms     276.470us            34  
                                          aten::dropout         0.00%      23.090us         0.00%      23.090us       0.679us       0.000us         0.00%       0.000us       0.000us            34  
                                            aten::prelu         0.00%     125.180us         0.00%       3.773ms     110.963us       0.000us         0.00%      12.576ms     369.883us            34  
                                    aten::_prelu_kernel         0.00%     854.208us         0.00%       3.355ms      98.667us      12.576ms         1.06%      12.576ms     369.883us            34  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.397us         0.00%      42.397us       1.247us            34  
void at::native::batch_norm_transform_input_kernel<f...         0.00%       0.000us         0.00%       0.000us       0.000us      14.565ms         1.23%      14.565ms     428.395us            34  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.576ms         1.06%      12.576ms     369.883us            34  
                                cudaGetDriverEntryPoint         0.00%       0.860us         0.00%       0.860us       0.430us       0.000us         0.00%       0.000us       0.000us             2  
                                   cudaGetSymbolAddress         0.00%       7.787ms         0.00%       7.787ms       7.787ms       0.000us         0.00%       0.000us       0.000us             1  
                                    cudaPeekAtLastError         0.00%     168.330us         0.00%     168.330us       0.092us       0.000us         0.00%       0.000us       0.000us          1834  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      76.010ms         6.42%      76.010ms     387.806us           196  
                                    cudaLaunchKernelExC         0.03%      66.941ms         0.03%      66.941ms     683.071us       0.000us         0.00%       0.000us       0.000us            98  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      10.596ms         0.89%      10.596ms       2.649ms             4  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       6.540ms         0.55%       6.540ms      93.431us            70  
                                              aten::add         0.00%       2.057ms         0.00%       3.532ms       7.064us      20.355ms         1.72%      20.355ms      40.710us           500  
                                   cudaFuncSetAttribute         0.02%      42.149ms         0.02%      42.149ms     301.064us       0.000us         0.00%       0.000us       0.000us           140  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.427ms         1.39%      16.427ms     432.291us            38  
sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      17.506ms         1.48%      17.506ms       1.094ms            16  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       5.760ms         0.49%       5.760ms     480.022us            12  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%       6.849ms         0.00%       6.849ms     207.531us       0.000us         0.00%       0.000us       0.000us            33  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%       1.505ms         0.00%       1.505ms       3.859us       0.000us         0.00%       0.000us       0.000us           390  
                                         cuLaunchKernel         0.00%      53.880us         0.00%      53.880us       8.980us       0.000us         0.00%       0.000us       0.000us             6  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      62.240us         0.01%      62.240us      31.120us             2  
                                              aten::cat         0.00%       2.644ms         0.00%      10.898ms      74.645us       6.191ms         0.52%       6.191ms      42.404us           146  
                                           aten::narrow         0.00%     396.400us         0.00%     915.388us       4.050us       0.000us         0.00%       0.000us       0.000us           226  
                                            aten::slice         0.00%       1.862ms         0.00%       2.243ms       3.039us       0.000us         0.00%       0.000us       0.000us           738  
                                       aten::as_strided         0.00%       4.240ms         0.00%       4.240ms       0.751us       0.000us         0.00%       0.000us       0.000us          5646  
