-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  batch        54.19%      143.884s        99.99%      265.484s      265.484s       0.000us         0.00%     680.323ms     680.323ms             1  
                                            aten::empty         0.00%       7.416ms         0.00%       7.416ms       2.664us       0.000us         0.00%       0.000us       0.000us          2784  
                                          aten::random_         0.00%      36.940us         0.00%      36.940us      18.470us       0.000us         0.00%       0.000us       0.000us             2  
                                             aten::item         0.00%       2.040ms         0.25%     666.079ms     489.764us       0.000us         0.00%     477.470us       0.351us          1360  
                              aten::_local_scalar_dense         0.00%       3.391ms         0.25%     664.039ms     488.264us     477.470us         0.04%     477.470us       0.351us          1360  
                                         aten::randperm         0.00%     113.980us         0.00%     221.420us      55.355us       0.000us         0.00%       0.000us       0.000us             4  
                                    aten::scalar_tensor         0.00%      12.590us         0.00%      12.590us       6.295us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::resize_         0.00%       2.279ms         0.00%       2.279ms       1.669us       0.000us         0.00%       0.000us       0.000us          1366  
                                     aten::resolve_conj         0.00%     316.720us         0.00%     316.720us       0.205us       0.000us         0.00%       0.000us       0.000us          1544  
                                      aten::resolve_neg         0.00%     175.170us         0.00%     175.170us       0.113us       0.000us         0.00%       0.000us       0.000us          1544  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        44.93%      119.279s        44.98%      119.429s       39.810s       0.000us         0.00%       0.000us       0.000us             3  
                               cudaPointerGetAttributes         0.00%     128.130us         0.00%     128.130us       0.572us       0.000us         0.00%       0.000us       0.000us           224  
                                          cudaHostAlloc         0.06%     150.021ms         0.06%     150.021ms      75.010ms       0.000us         0.00%       0.000us       0.000us             2  
                                               aten::to         0.00%       3.693ms         0.25%     671.090ms     113.398us       0.000us         0.00%     449.810ms      76.007us          5918  
                                         aten::_to_copy         0.00%      10.210ms         0.25%     667.397ms     486.441us       0.000us         0.00%     449.810ms     327.850us          1372  
                                    aten::empty_strided         0.00%      12.367ms         0.00%      12.367ms       8.962us       0.000us         0.00%       0.000us       0.000us          1380  
                                            aten::copy_         0.03%      87.739ms         0.24%     644.588ms     446.390us     449.957ms        37.60%     449.957ms     311.605us          1444  
                                        cudaMemcpyAsync         0.20%     525.626ms         0.20%     525.626ms     337.372us       0.000us         0.00%       0.000us       0.000us          1558  
                                                  batch         0.00%       0.000us         0.00%       0.000us       0.000us      145.586s     12166.81%      145.586s      145.586s             1  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      22.193ms         1.85%      22.193ms       5.548ms             4  
