-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.00%       1.773ms         0.00%       6.659ms      26.010us       0.000us         0.00%       0.000us       0.000us           256  
                                               aten::mm         0.00%       1.947ms         0.00%       1.977ms      15.446us       0.000us         0.00%       0.000us       0.000us           128  
                                            aten::clone         0.00%       1.231ms         0.01%      40.687ms     154.118us       0.000us         0.00%      86.401us       0.327us           264  
                                       aten::reciprocal         0.00%     664.877us         0.00%     664.877us       2.597us       0.000us         0.00%       0.000us       0.000us           256  
                                             aten::ones         0.00%     607.709us         0.00%     782.329us       6.112us       0.000us         0.00%       0.000us       0.000us           128  
                                              aten::cat         0.03%      73.668ms         0.03%      81.139ms     291.868us       6.164ms         0.52%       6.164ms      22.174us           278  
                                             aten::diag         0.00%     269.700us         0.00%       2.359ms      18.432us       0.000us         0.00%       0.000us       0.000us           128  
                                       aten::diag_embed         0.00%     774.158us         0.00%       2.090ms      16.325us       0.000us         0.00%       0.000us       0.000us           128  
                                            aten::zeros         0.00%     475.928us         0.00%       4.080ms      30.002us       0.000us         0.00%       6.368us       0.047us           136  
                                         aten::diagonal         0.00%     338.838us         0.00%     459.498us       3.590us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::expand         0.00%     747.709us         0.00%     858.178us       3.275us       0.000us         0.00%       0.000us       0.000us           262  
                                          aten::reshape         0.00%       1.692ms         0.00%       3.062ms       2.396us       0.000us         0.00%       0.000us       0.000us          1278  
                                             aten::view         0.00%       2.565ms         0.00%       2.565ms       1.651us       0.000us         0.00%       0.000us       0.000us          1554  
                                              aten::bmm         4.04%       11.600s         4.04%       11.600s      60.419ms       0.000us         0.00%       0.000us       0.000us           192  
                                     aten::_unsafe_view         0.00%     172.990us         0.00%     172.990us       1.351us       0.000us         0.00%       0.000us       0.000us           128  
                                            aten::index         0.00%       6.564ms         0.01%      25.156ms      98.266us       2.584ms         0.22%       8.560ms      33.439us           256  
                                               aten::lt         0.00%     638.499us         0.00%     638.499us       3.326us       0.000us         0.00%       0.000us       0.000us           192  
                                       aten::is_nonzero         0.00%       1.352ms         0.03%      96.065ms     103.518us       0.000us         0.00%     457.693us       0.493us           928  
                            aten::affine_grid_generator         0.10%     292.392ms        11.89%       34.126s     533.212ms       0.000us         0.00%       0.000us       0.000us            64  
                                         aten::linspace         0.00%       3.477ms         0.00%       6.816ms      17.751us       0.000us         0.00%       0.000us       0.000us           384  
                                              aten::div         0.01%      18.955ms         0.01%      26.443ms      70.703us     123.586us         0.01%     123.586us       0.330us           374  
                                       aten::unsqueeze_         0.00%     564.759us         0.00%       1.307ms       6.808us       0.000us         0.00%       0.000us       0.000us           192  
                                      aten::as_strided_         0.00%       1.239ms         0.00%       1.239ms       3.227us       0.000us         0.00%       0.000us       0.000us           384  
                                        aten::transpose         0.00%     938.950us         0.00%       1.439ms       5.620us       0.000us         0.00%       0.000us       0.000us           256  
                                     aten::grid_sampler         0.00%     907.669us        14.71%       42.232s     659.881ms       0.000us         0.00%       0.000us       0.000us            64  
                                  aten::grid_sampler_3d        14.71%       42.229s        14.71%       42.231s     659.866ms       0.000us         0.00%       0.000us       0.000us            64  
                                          aten::squeeze         0.00%       1.444ms         0.00%       1.835ms      28.666us       0.000us         0.00%       0.000us       0.000us            64  
                                       aten::zeros_like         0.00%     915.405us         0.00%       4.223ms      13.281us       0.000us         0.00%     122.787us       0.386us           318  
                                       aten::empty_like         0.00%       1.037ms         0.00%       3.843ms       7.842us       0.000us         0.00%       0.000us       0.000us           490  
                                           aten::divide         0.00%     138.689us         0.00%       1.821ms      28.454us       0.000us         0.00%       0.000us       0.000us            64  
                                          aten::maximum         0.00%       1.115ms         0.00%       1.115ms       2.905us       0.000us         0.00%       0.000us       0.000us           384  
                                              aten::min         0.00%       2.782ms         0.01%      37.042ms       1.158ms       0.000us         0.00%       0.000us       0.000us            32  
                                       aten::contiguous         0.00%     115.750us         0.01%      37.910ms     557.504us       0.000us         0.00%      83.074us       1.222us            68  
                                              aten::max         0.00%       5.100ms         0.01%      15.860ms      38.126us       1.112ms         0.09%       1.112ms       2.674us           416  
                                            aten::stack         0.00%       1.160ms         0.03%      78.933ms     555.865us       0.000us         0.00%     171.005us       1.204us           142  
                                           aten::narrow         0.00%     472.789us         0.00%       1.128ms       4.340us       0.000us         0.00%       0.000us       0.000us           260  
                                       aten::pin_memory         0.00%      77.710us         0.12%     354.680ms      88.670ms       0.000us         0.00%       0.000us       0.000us             4  
                                        aten::is_pinned         0.00%     447.669us         0.00%     488.239us     122.060us       0.000us         0.00%       0.000us       0.000us             4  
                               cudaPointerGetAttributes         0.00%     143.510us         0.00%     143.510us       0.641us       0.000us         0.00%       0.000us       0.000us           224  
                                      aten::_pin_memory         0.00%     343.089us         0.12%     354.114ms      88.528ms       0.000us         0.00%       0.000us       0.000us             4  
                                          cudaHostAlloc         0.10%     296.023ms         0.10%     296.023ms      37.003ms       0.000us         0.00%       0.000us       0.000us             8  
                                             aten::set_         0.00%       1.007ms         0.00%       1.007ms       5.139us       0.000us         0.00%       0.000us       0.000us           196  
                                  cudaStreamIsCapturing         0.00%     116.350us         0.00%     116.350us       0.632us       0.000us         0.00%       0.000us       0.000us           184  
                                             cudaMalloc         0.00%       6.323ms         0.00%       6.323ms     126.452us       0.000us         0.00%       0.000us       0.000us            50  
                                        cudaMemcpyAsync         0.19%     539.637ms         0.19%     539.637ms     346.365us       0.000us         0.00%       0.000us       0.000us          1558  
                                  cudaStreamSynchronize         0.13%     361.012ms         0.13%     361.012ms     253.519us       0.000us         0.00%       0.000us       0.000us          1424  
                                                  batch         0.00%       0.000us         0.00%       0.000us       0.000us      196.426s     16524.30%      196.426s       98.213s             2  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      22.308ms         1.88%      22.308ms       5.577ms             4  
                    Optimizer.zero_grad#AdamW.zero_grad         0.00%     236.240us         0.00%     236.240us     118.120us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::conv3d         0.00%     166.430us         0.04%     118.307ms       3.113ms       0.000us         0.00%      86.857ms       2.286ms            38  
                                      aten::convolution         0.00%     447.339us         0.04%     127.911ms       2.781ms       0.000us         0.00%     126.547ms       2.751ms            46  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 287.051s
Self CUDA time total: 1.189s
